"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-1.31322078553301,-1.32206079273845,-1.283075420089,40350.9,0.95,-3.46398335640366,0.893519434417581,NA,NA,NA,NA,NA,NA,NA
"beta1",0.151595474702734,0.151723105836906,0.151597292496948,38813.1,0.95,0.119015157050634,0.183515225559041,NA,NA,NA,NA,NA,NA,NA
"sigma",0.219574596214329,0.217218526421076,0.215079551806024,20352.5,0.95,0.142557653566144,0.302874434442434,NA,NA,NA,NA,NA,NA,NA
"nu",29.2651710919423,20.4128388212182,6.7870070896342,7851.3,0.95,1.09263128960961,85.7276559268796,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.27939523883949,1.30990340633818,1.45270230524541,10553.1,0.95,0.426329302805874,2.03064440710925,NA,NA,NA,NA,NA,NA,NA
