"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-1.07631432034209,-1.08994269985662,-1.10314203302376,41924.8,0.95,-2.11041890071375,0.0111137219409247,NA,NA,NA,NA,NA,NA,NA
"beta1",0.145390349352866,0.145578648728965,0.146284270308176,41838.5,0.95,0.12797329091745,0.161674927762355,NA,NA,NA,NA,NA,NA,NA
"sigma",0.159268742733207,0.158831049198402,0.159219104436034,10649.1,0.95,0.0879707921145524,0.229116168074054,NA,NA,NA,NA,NA,NA,NA
"nu",20.1082511355583,11.3165282991641,4.20562131693863,4053.2,0.95,1.00045576936921,67.8675381779024,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.06544477732199,1.0537132137344,1.00377112474478,6226.5,0.95,0.225423583321802,1.92591475882623,NA,NA,NA,NA,NA,NA,NA
