"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-16.6945075778942,-16.6960187177308,-16.5929231324561,39609.4,0.95,-25.7318851346003,-7.92247207966291,NA,NA,NA,NA,NA,NA,NA
"beta1",0.383113077693364,0.383049582766955,0.382400429563426,39558.9,0.95,0.259642053629392,0.50752103048826,NA,NA,NA,NA,NA,NA,NA
"sigma",0.433018415009534,0.425704371909109,0.408509680405343,30423.6,0.95,0.312053876432807,0.570505966743762,NA,NA,NA,NA,NA,NA,NA
"nu",37.563259661393,29.117879021448,14.2936101512673,10378.9,0.95,2.34447977167608,97.7098131884596,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.44360023542048,1.46415973729899,1.52986634891578,15377.2,0.95,0.741814586551224,2.09140623991189,NA,NA,NA,NA,NA,NA,NA
