"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-9.16464795261632,-9.16484708480036,-9.63363745759677,43413.4,0.95,-14.6312175238347,-3.73580510125542,NA,NA,NA,NA,NA,NA,NA
"beta1",0.283369534278351,0.283378261218891,0.290008638902395,43448.6,0.95,0.205666291329271,0.365535005772774,NA,NA,NA,NA,NA,NA,NA
"sigma",0.417285014880141,0.410224259627966,0.397884172363739,32738.9,0.95,0.299870700653147,0.547804155760988,NA,NA,NA,NA,NA,NA,NA
"nu",38.256301600372,29.6413271775718,13.6163593861287,10689.9,0.95,2.11640248213979,99.2983165666795,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.44970931664403,1.47189764487901,1.46643473283842,16321.3,0.95,0.738910992072791,2.10017817662003,NA,NA,NA,NA,NA,NA,NA
