"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-16.7168028706859,-16.7165088934656,-15.9410544927857,41668.5,0.95,-25.5543148161671,-7.82361112171649,NA,NA,NA,NA,NA,NA,NA
"beta1",0.383420711410315,0.383394061346871,0.372822239158866,41615,0.95,0.260185634967059,0.50701765831638,NA,NA,NA,NA,NA,NA,NA
"sigma",0.432903401794624,0.425287538013411,0.417233346463759,29926.6,0.95,0.313505268029326,0.570821583910627,NA,NA,NA,NA,NA,NA,NA
"nu",37.7973280888688,29.3560032566744,13.9362356981981,11089.4,0.95,2.22308566996515,97.4205447121719,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.44523115675579,1.46769692719133,1.50578590043012,16374,0.95,0.753622145432967,2.10739617016777,NA,NA,NA,NA,NA,NA,NA
