"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-9.18101746044461,-9.17534551830373,-9.25253921185486,42732.9,0.95,-14.6373403503893,-3.72554244494767,NA,NA,NA,NA,NA,NA,NA
"beta1",0.283609894051341,0.283519603834668,0.285239026932132,42797.5,0.95,0.202833669690692,0.362677232995255,NA,NA,NA,NA,NA,NA,NA
"sigma",0.417612726225527,0.41026421339066,0.397801864645572,30613.7,0.95,0.300774758772724,0.550330675176771,NA,NA,NA,NA,NA,NA,NA
"nu",37.9406777432242,29.4514134547387,15.3067147727597,10073.7,0.95,1.98648812602577,99.0581515903583,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.44754466558772,1.46910614206021,1.5625084300341,15083.5,0.95,0.755975378146719,2.10825274702548,NA,NA,NA,NA,NA,NA,NA
